pH,mu,level
4.60068,0.0679708,def4
4.59942,0.0680087,def4
4.59816,0.0680466,def4
4.59689,0.0680844,def4
4.59563,0.0681223,def4
4.59437,0.0681601,def4
4.59311,0.0681979,def4
4.59185,0.0682358,def4
4.59059,0.0682736,def4
4.58934,0.0683114,def4
4.58808,0.0683491,def4
4.58682,0.0683869,def4
4.58556,0.0684247,def4
4.5843,0.0684624,def4
4.58305,0.0685002,def4
4.58179,0.0685379,def4
4.58054,0.0685756,def4
4.57928,0.0686133,def4
4.57802,0.068651,def4
4.57677,0.0686887,def4
4.57552,0.0687264,def4
4.57426,0.0687641,def4
4.57301,0.0688017,def4
4.57176,0.0688394,def4
4.5705,0.068877,def4
4.56925,0.0689146,def4
4.568,0.0689523,def4
4.56675,0.0689899,def4
4.5655,0.0690274,def4
4.56425,0.069065,def4
4.563,0.0691026,def4
4.56175,0.0691401,def4
4.5605,0.0691777,def4
4.55925,0.0692152,def4
4.55801,0.0692527,def4
4.55676,0.0692902,def4
4.55551,0.0693277,def4
4.55427,0.0693652,def4
4.55302,0.0694027,def4
4.55177,0.0694401,def4
4.55053,0.0694776,def4
4.54928,0.069515,def4
4.54804,0.0695524,def4
4.5468,0.0695898,def4
4.54555,0.0696272,def4
4.54431,0.0696646,def4
4.54307,0.069702,def4
4.54183,0.0697393,def4
4.54059,0.0697767,def4
4.53935,0.069814,def4
4.53811,0.0698513,def4
4.53687,0.0698886,def4
4.53563,0.0699259,def4
4.53439,0.0699632,def4
4.53315,0.0700004,def4
4.53192,0.0700377,def4
4.53068,0.0700749,def4
4.52944,0.0701121,def4
4.52821,0.0701493,def4
4.52697,0.0701865,def4
4.52574,0.0702237,def4
4.5245,0.0702609,def4
4.52327,0.070298,def4
4.52204,0.0703352,def4
4.52081,0.0703723,def4
4.51957,0.0704094,def4
4.51834,0.0704465,def4
4.51711,0.0704835,def4
4.51588,0.0705206,def4
4.51465,0.0705576,def4
4.51342,0.0705947,def4
4.51219,0.0706317,def4
4.51097,0.0706687,def4
4.50974,0.0707057,def4
4.50851,0.0707426,def4
4.50729,0.0707796,def4
4.50606,0.0708165,def4
4.50483,0.0708535,def4
4.50361,0.0708904,def4
4.50239,0.0709273,def4
4.50116,0.0709641,def4
4.49994,0.071001,def4
4.49872,0.0710378,def4
4.4975,0.0710747,def4
4.49628,0.0711115,def4
4.49505,0.0711483,def4
4.49383,0.071185,def4
