"","time","POM","MOM","QOM","DOM","MB","EP","EM","IC","Tot"
"94",93,0.0424452094730108,20.1109455490423,0.0182978635475021,0.0164164382099345,0.0507225381482257,0.166924749316728,0.166924749316728,2.57932290294558,20.9046770970544
"95",94,0.0404102258890819,20.1072801129112,0.0183903223598647,0.0163793897305949,0.050268287472377,0.167330358636399,0.167330358636399,2.58461094436405,20.899389055636
"96",95,0.038506653208147,20.1035245102751,0.0184825450915676,0.0163472546897589,0.049835777735646,0.16773053653058,0.16773053653058,2.58984218593861,20.8941578140614
"97",96,0.036726119047997,20.0996838238897,0.0185745601390627,0.0163197063904943,0.0494242771502659,0.168125530818283,0.168125530818283,2.59502045174587,20.8889795482541
"98",97,0.035060772969522,20.0957628313317,0.0186663939930915,0.0162964244072912,0.049033066532875,0.168515580796699,0.168515580796699,2.60014934917217,20.8838506508278
"99",98,0.0335032521391408,20.0917660243627,0.018758071265223,0.0162771007898488,0.0486614381305152,0.168900917401632,0.168900917401632,2.60523227850931,20.8787677214907
"100",99,0.0320466520691027,20.0876976256671,0.0188496147355593,0.0162614425722346,0.0483086950207184,0.169281763396944,0.169281763396944,2.61027244314143,20.8737275568586
"101",100,0.0306844998194522,20.083561604008,0.0189410454748564,0.0162491684493409,0.0479741533787238,0.169658333486153,0.169658333486153,2.61527286189737,20.8687271381026
"102",101,0.0294107285475003,20.0793616887451,0.0190323829088362,0.0162400099255536,0.047657142497622,0.170030834475622,0.170030834475622,2.62023637842416,20.8637636215758
"103",102,0.0282196534171488,20.0751013835949,0.0191236448871534,0.0162337120068544,0.047357004906984,0.170399465442508,0.170399465442508,2.62516567030193,20.8588343296981
"104",103,0.0271059486616678,20.0707839796934,0.0192148477717312,0.0162300324774895,0.0470730971637274,0.170764417887957,0.170764417887957,2.63006325845605,20.853936741544
"105",104,0.0260646259334014,20.0664125679746,0.0193060065124997,0.0162287419951767,0.0468047901284135,0.17112587590667,0.17112587590667,2.63493151564259,20.8490684843574
"106",105,0.0250910138269325,20.0619900508943,0.0193971347225668,0.0162296241212017,0.0465514691964915,0.171484016360231,0.171484016360231,2.63977267451809,20.8442273254819
"107",106,0.0241807385014271,20.0575191535289,0.0194882447566109,0.0162324750142374,0.0463125346369306,0.171839009049317,0.171839009049317,2.64458883546329,20.8394111645367
"108",107,0.0233297053934645,20.0530024340715,0.0195793477858267,0.0162371032292337,0.0460874018045122,0.172191016890762,0.172191016890762,2.64938197393399,20.834618026066
"109",108,0.0225340823182255,20.0484422935461,0.0196704538696119,0.0162433294920696,0.0458755013007911,0.172540196092999,0.172540196092999,2.65415394728718,20.8298460527128
"110",109,0.0217902822873319,20.0438409856972,0.0197615720316474,0.0162509863758881,0.0456762791360751,0.172886696345397,0.172886696345397,2.65890650178108,20.8250934982189
"111",110,0.0210949485392454,20.0392006256307,0.0198527103284709,0.0162599179378709,0.0454891968209299,0.173230660997212,0.173230660997212,2.66364127874842,20.8203587212516
"112",111,0.020444940710772,20.0345231978091,0.0199438759161917,0.016269979233933,0.0453137314688898,0.173572227233964,0.173572227233964,2.66835982039317,20.8156401796068
"113",112,0.0198373207890799,20.0298105641768,0.020035075115102,0.01628103614724,0.0451493757572477,0.173911526263867,0.173911526263867,2.67306357548681,20.8109364245132
"114",113,0.0192693402649143,20.0250644716162,0.0201263134736624,0.0162929648980247,0.0449956379410539,0.17424868350178,0.17424868350178,2.67775390480263,20.8062460951974
"115",114,0.0187384281311313,20.0202865589262,0.0202175958305492,0.0163056514768124,0.0448520418691879,0.174583818750921,0.174583818750921,2.68243208626424,20.8015679137358
"116",115,0.0182421795532601,20.0154783634275,0.0203089263709935,0.0163189912932904,0.0447181268666958,0.174917046385771,0.174917046385771,2.68709931971669,20.7969006802833
"117",116,0.0177783455650085,20.0106413269827,0.0204003086804141,0.016332888704222,0.0445934476454203,0.17524847552789,0.17524847552789,2.69175673136648,20.7922432686335
"118",117,0.0173448228103346,20.0057768019989,0.0204917457982595,0.0163472565232399,0.0444775741917844,0.175578210228442,0.175578210228442,2.69640537822059,20.7875946217794
"119",118,0.0169396441311478,20.0008860569582,0.0205832402672915,0.016362015556372,0.0443700915961811,0.175906349648256,0.175906349648256,2.7010462521943,20.7829537478057
"120",119,0.0165609723293509,19.9959702800097,0.0206747941716968,0.0163770942576699,0.0442706001986064,0.176232988136759,0.176232988136759,2.70568028275942,20.7783197172406
"121",120,0.0162070866568536,19.9910305870904,0.02076640919867,0.0163924279815348,0.0441787147570454,0.176558215602803,0.176558215602803,2.71030834310988,20.7736916568901
"122",121,0.0158763764289672,19.9860680256937,0.0208580866744047,0.0164079585733805,0.0440940643226146,0.176882117642597,0.176882117642597,2.71493125302175,20.7690687469783
"123",122,0.015567337227081,19.9810835770531,0.0209498275909223,0.0164236340320874,0.0440162923954415,0.177204775584263,0.177204775584263,2.71954978053283,20.7644502194672
"124",123,0.0152785583662075,19.9760781637464,0.0210416326582287,0.0164394078878745,0.0439450558828152,0.177526266877752,0.177526266877752,2.72416464770298,20.759835352297
"125",124,0.0150087287783893,19.971052645848,0.021133502300859,0.0164552394626877,0.0438800265418813,0.177846664753126,0.177846664753126,2.72877652756191,20.7552234724381
"126",125,0.0147566203046985,19.9660078311692,0.0212254367225911,0.016471092813899,0.043820889328316,0.178166038805011,0.178166038805011,2.73338605205129,20.7506139479487
"127",126,0.0145210819133551,19.9609444787538,0.0213174359333942,0.0164869364434977,0.0437673419684785,0.178484455160609,0.178484455160609,2.73799381466628,20.7460061853337
"128",127,0.0143010380908729,19.9558632998323,0.0214094997657357,0.0165027428439332,0.0437190950674356,0.178801976505224,0.178801976505224,2.7426003713893,20.7413996286107
"129",128,0.0140954832681684,19.9507649611684,0.0215016278994861,0.0165184882765221,0.0436758717375842,0.179118662243643,0.179118662243643,2.74720624316258,20.7367937568374
"130",129,0.0139034770981472,19.9456500879336,0.0215938198829759,0.0165341524824171,0.0436374072013596,0.179434568651566,0.179434568651566,2.75181191809838,20.7321880819016
"131",130,0.0137241402395608,19.9405192662787,0.0216860751536238,0.0165497182707926,0.0436034484822808,0.179749749013653,0.179749749013653,2.75641785354777,20.7275821464522
"132",131,0.0135566503789122,19.9353730457665,0.0217783930551523,0.0165651712536641,0.043573754040665,0.180064253758368,0.180064253758368,2.76102447798839,20.7229755220116
"133",132,0.0134002385185342,19.930211941651,0.0218707728533055,0.0165804995788361,0.0435480934120236,0.180378130588702,0.180378130588702,2.76563219280884,20.7183678071912
"134",133,0.0132541855045118,19.9250364370156,0.0219632137504059,0.0165956936537459,0.0435262468580017,0.180691424608247,0.180691424608247,2.77024137400119,20.7137586259988
"135",134,0.0131178187822701,19.9198469847787,0.0220557148980756,0.0166107459091835,0.0435080050048866,0.181004178443409,0.181004178443409,2.77485237374005,20.7091476262599
"136",135,0.0129905093640568,19.9146440095754,0.0221482754086106,0.0166256505779659,0.043493168483559,0.181316432361383,0.181316432361383,2.77946552186767,20.7045344781323
"137",136,0.0128716689942311,19.9094279095224,0.0222408943651462,0.0166404034863829,0.0434815475731243,0.181628224383875,0.181628224383875,2.78408112729094,20.6999188727091
"138",137,0.0127607475002566,19.9041990578737,0.022333570830587,0.0166550018654161,0.0434729618450905,0.181939590396718,0.181939590396718,2.78869947929147,20.6953005207085
"139",138,0.0126572303170233,19.8989578045729,0.0224263038554566,0.0166694441774845,0.0434672398110076,0.182250564255363,0.182250564255363,2.79332084875543,20.6906791512446
"140",139,0.0125606361731491,19.8937044777093,0.0225190924847676,0.0166837299575614,0.0434642185746985,0.182561177886277,0.182561177886277,2.79794548932798,20.686054510672
"141",140,0.0124705149287796,19.888439384884,0.0226119357639771,0.0166978596690037,0.0434637434892804,0.182871461384336,0.182871461384336,2.80257363849625,20.6814263615037
"142",141,0.0123864455549117,19.8831628144906,0.0227048327441228,0.016711834572774,0.0434656678199957,0.183181443106264,0.183181443106264,2.80720551860507,20.6767944813949
"143",142,0.0123080342449417,19.8778750369161,0.0227977824862157,0.0167256566091394,0.0434698524135626,0.183491149760185,0.183491149760185,2.81184133780971,20.6721586621903
"144",143,0.0122349126497594,19.8725763056676,0.0228907840649603,0.0167393282911865,0.0434761653745384,0.183800606491384,0.183800606491384,2.81648129096922,20.6675187090308
"145",144,0.0121667362282456,19.8672668584288,0.0229838365718726,0.0167528526092628,0.0434844817492394,0.184109836964354,0.184109836964354,2.8211255604839,20.6628744395161
"146",145,0.0121031827055671,19.8619469180505,0.0230769391178571,0.0167662329455285,0.0434946832176605,0.184418863441215,0.184418863441215,2.82577431708047,20.6582256829195
"147",146,0.0120439506321602,19.8566166934798,0.0231700908353021,0.0167794729978661,0.0435066577937409,0.184727706856624,0.184727706856624,2.83042772054792,20.6535722794521
"148",147,0.0119887580367601,19.8512763806311,0.0232632908797461,0.0167925767123905,0.0435202995342765,0.185036386889243,0.185036386889243,2.83508592042722,20.6489140795728
"149",148,0.0119373411672677,19.8459261632036,0.0233565384311663,0.0168055482238413,0.04353550825671,0.185344922029901,0.185344922029901,2.8397490566576,20.6442509433424
"150",149,0.0118894533136574,19.840566213447,0.0234498326949318,0.0168183918031816,0.0435521892659679,0.185653329646527,0.185653329646527,2.84441726018224,20.6395827398178
"151",150,0.0118448637075136,19.8351966928802,0.023543172902465,0.0168311118117578,0.0435702530904638,0.185961626045985,0.185961626045985,2.84909065351565,20.6349093464843
"152",151,0.0118033564931415,19.8298177529652,0.0236365583116472,0.0168437126614152,0.0435896152273315,0.186269826532897,0.186269826532897,2.85376935127547,20.6302306487245
"153",152,0.0117647297655336,19.8244295357389,0.0237299882070026,0.0168561987800024,0.0436101958969096,0.186577945465576,0.186577945465576,2.85845346068051,20.6255465393195
"154",153,0.0117287946707888,19.8190321744055,0.0238234618996921,0.0168685745817356,0.0436319198064566,0.186885996309171,0.186885996309171,2.86314308201749,20.6208569179825
"155",154,0.0116953745648745,19.8136257938923,0.0239169787273431,0.0168808444419314,0.0436547159230352,0.18719399168613,0.18719399168613,2.86783830907824,20.6161616909218
"156",155,0.011664304226894,19.8082105113707,0.0240105380537408,0.0168930126756533,0.0436785172554753,0.187501943424097,0.187501943424097,2.87253922956929,20.6114607704307
"157",156,0.0116354291232814,19.8027864367449,0.0241041392684037,0.016905083519853,0.0437032606452923,0.187809862601329,0.187809862601329,2.8772459254956,20.6067540745044
"158",157,0.0116086047195812,19.7973536731098,0.0241977817860614,0.0169170611186202,0.0437288865664124,0.188117759589753,0.188117759589753,2.88195847351999,20.60204152648
"159",158,0.0115836958366959,19.7919123171811,0.0242914650460542,0.0169289495111901,0.0437553389335349,0.188425644095764,0.188425644095764,2.88667694529991,20.5973230547001
"160",159,0.0115605760486916,19.7864624596977,0.0243851885116678,0.0169407526223845,0.0437825649189408,0.188733525198845,0.188733525198845,2.89140140780293,20.5925985921971
"161",160,0.0115391271194452,19.7810041857999,0.0244789516694188,0.0169524742551951,0.0438105147775414,0.189041411388131,0.189041411388131,2.89613192360222,20.5878680763978
"162",161,0.0115192384755985,19.7755375753835,0.0245727540283018,0.0169641180852433,0.0438391416799482,0.189349310596991,0.189349310596991,2.90086855115345,20.5831314488465
"163",162,0.0115008067106677,19.7700627034336,0.0246665951190001,0.0169756876569298,0.0438684015522528,0.189657230235934,0.189657230235934,2.90561134505565,20.5783886549444
"164",163,0.0114837352533022,19.7645796402476,0.0247604744935074,0.0169871863781543,0.043898252975601,0.189965177213908,0.189965177213908,2.91036035622406,20.5736396437759
"165",164,0.0114679336581996,19.7590884519166,0.024854391723439,0.0169986175252975,0.0439286569338073,0.190273157987853,0.190273157987853,2.91511563226697,20.568884367733
"166",165,0.0114533172699513,19.7535892005538,0.0249483463994108,0.0170099842412024,0.0439595767011279,0.19058117858552,0.19058117858552,2.91987721766341,20.5641227823366
"167",166,0.0114398070217267,19.7480819444302,0.0250423381307815,0.0170212895308846,0.0439909777800674,0.190889244618665,0.190889244618665,2.92464515386898,20.559354846131
"168",167,0.0114273290071708,19.7425667382651,0.025136366544628,0.0170325362666902,0.0440228277502328,0.191197361312733,0.191197361312733,2.92941947954066,20.5545805204593
"169",168,0.011415814128037,19.737043633467,0.025230431284882,0.0170437271905986,0.0440550961423005,0.191505533531631,0.191505533531631,2.93420023072391,20.5497997692761
"170",169,0.0114051977858747,19.7315126783437,0.0253245320115616,0.0170548649159308,0.0440877543271005,0.191813765799503,0.191813765799503,2.93898744101681,20.5450125589832
"171",170,0.0113954195920885,19.725973918301,0.0254186684000061,0.0170659519304955,0.0441207754098349,0.192122062321334,0.192122062321334,2.94378114172388,20.5402188582761
"172",171,0.0113864230965738,19.7204273960284,0.0255128401401307,0.0170769906000555,0.044154134129853,0.192430427002353,0.192430427002353,2.9485813620003,20.5354186379997
"173",172,0.0113781555337639,19.7148731516731,0.025607046935705,0.0170879831719174,0.0441878067658181,0.192738863466324,0.192738863466324,2.95338812898701,20.530611871013
"174",173,0.0113705675849469,19.7093112230039,0.0257012885036529,0.0170989317787607,0.0442217710459344,0.193047375072757,0.193047375072757,2.95820146793728,20.5257985320627
"175",174,0.0113636131558107,19.7037416455636,0.0257955645733764,0.0171098384426271,0.0442560060630147,0.193355964933125,0.193355964933125,2.96302140233533,20.5209785976647
