Day,unprotectedC_fast,unprotectedC_slow,unprotectedC_deadmic,protectedC,CO2,microbeC
15164,0.000183519273403,2.20691267155e-05,0.00101744166931,3.57294665304,5.90853301961,0.0017537326421
15165,0.000183512913962,2.20683207096e-05,0.00101741121891,3.57283482623,5.9085703879,0.00175367757241
15166,0.000183506554742,2.20675147332e-05,0.00101738076942,3.57272300292,5.90860775502,0.00175362250447
15167,0.000183500195742,2.20667087863e-05,0.00101735032084,3.57261118313,5.90864512096,0.00175356743825
15168,0.000183493836962,2.20659028688e-05,0.00101731987317,3.57249936684,5.90868248573,0.00175351237378
15169,0.000183487478403,2.20650969807e-05,0.00101728942641,3.57238755408,5.90871984933,0.00175345731104
15170,0.000183481120063,2.2064291122e-05,0.00101725898056,3.57227574482,5.90875721175,0.00175340225003
15171,0.000183474761945,2.20634852928e-05,0.00101722853562,3.57216393907,5.908794573,0.00175334719076
15172,0.000183468404046,2.2062679493e-05,0.00101719809159,3.57205213684,5.90883193308,0.00175329213323
15173,0.000183462046368,2.20618737226e-05,0.00101716764847,3.57194033812,5.90886929198,0.00175323707743
15174,0.00018345568891,2.20610679817e-05,0.00101713720626,3.57182854291,5.90890664971,0.00175318202337
15175,0.000183449331673,2.20602622702e-05,0.00101710676496,3.57171675121,5.90894400627,0.00175312697104
15176,0.000183442974656,2.20594565881e-05,0.00101707632457,3.57160496302,5.90898136165,0.00175307192045
15177,0.000183436617859,2.20586509355e-05,0.00101704588508,3.57149317835,5.90901871586,0.00175301687159
15178,0.000183430261282,2.20578453122e-05,0.00101701544651,3.57138139719,5.90905606889,0.00175296182447
15179,0.000183423904926,2.20570397184e-05,0.00101698500885,3.57126961953,5.90909342076,0.00175290677908
15180,0.00018341754879,2.2056234154e-05,0.00101695457209,3.57115784539,5.90913077145,0.00175285173543
15181,0.000183411192874,2.20554286191e-05,0.00101692413625,3.57104607476,5.90916812096,0.00175279669351
15182,0.000183404837178,2.20546231135e-05,0.00101689370131,3.57093430764,5.90920546931,0.00175274165333
15183,0.000183398481703,2.20538176374e-05,0.00101686326728,3.57082254403,5.90924281648,0.00175268661488
15184,0.000183392126448,2.20530121907e-05,0.00101683283417,3.57071078393,5.90928016247,0.00175263157817
15185,0.000183385771413,2.20522067734e-05,0.00101680240196,3.57059902734,5.9093175073,0.00175257654319
15186,0.000183379416599,2.20514013855e-05,0.00101677197066,3.57048727426,5.90935485095,0.00175252150995
15187,0.000183373062004,2.2050596027e-05,0.00101674154027,3.57037552469,5.90939219343,0.00175246647844
15188,0.00018336670763,2.2049790698e-05,0.00101671111079,3.57026377864,5.90942953473,0.00175241144867
